%time,field.data
1474475501794195644,-0.031361579895
1474475503345111830,-0.0258116722107
1474475504799126944,-0.0332467556
1474475507241579691,-0.0444264411926
1474475508649380334,-0.0407581329346
1474475510099554131,-0.0206904411316
1474475511395841943,-0.0331227779388
1474475512827745718,-0.0250465869904
1474475515187824119,-0.0149221420288
1474475516629679052,-0.0340731143951
1474475517961175668,-0.0357477664948
1474475519383572812,-0.0226490497589
1474475520758813601,-0.0353479385376
1474475522899977540,-0.0178024768829
1474475524350999977,-0.0269446372986
1474475525743527121,-0.0285601615906
1474475527390766053,-0.0274422168732
1474475528738636618,-0.0195233821869
1474475531700731970,-0.0577244758606
1474475534277210731,-0.0333969593048
1474475535721799390,-0.0254735946655
1474475537342160085,-0.0529842376709
1474475539199340581,-0.0395467281342
1474475540564190461,-0.0438857078552
1474475541976786961,-0.0450577735901
1474475543364884035,-0.0418565273285
1474475544653167402,-0.0472140312195
1474475547613392290,-0.0529401302338
1474475550397679984,-0.0279855728149
1474475551779796765,-0.0221135616302
1474475553437148228,-0.0300960540771
1474475554868349612,-0.0294554233551
1474475556400142863,-0.0358400344849
1474475557819991766,-0.0566608905792
1474475560457751221,-0.0539121627808
1474475561844030990,-0.0460438728333
1474475563352029848,-0.0300555229187
1474475564768958982,-0.0520238876343
1474475566377858179,-0.0549163818359
1474475568276988251,-0.0379650592804
1474475569649112630,-0.0426464080811
1474475572328484411,-0.0435321331024
1474475573700011723,-0.0586476325989
1474475577067364136,-0.0555441379547
1474475578379135345,-0.0573832988739
1474475579812892854,-0.0567352771759
1474475581319040567,-0.033123254776
1474475582747811254,-0.0572595596313
1474475584336570335,-0.0561416149139
1474475586194493312,-0.0281281471252
1474475588990366221,-0.0314121246338
1474475591230189424,-0.0318841934204
1474475592684497601,-0.040723323822
1474475602477732853,-0.0366966724396
1474475604387256850,-0.0261280536652
1474475605771263670,-0.0513079166412
1474475607365905136,-0.0401680469513
1474475608764729646,-0.0339822769165
1474475610375391558,-0.0534491539001
1474475612293333384,-0.0552544593811
