%time,field.header.seq,field.header.stamp,field.header.frame_id,field.status.status,field.status.service,field.latitude,field.longitude,field.altitude,field.position_covariance0,field.position_covariance1,field.position_covariance2,field.position_covariance3,field.position_covariance4,field.position_covariance5,field.position_covariance6,field.position_covariance7,field.position_covariance8,field.position_covariance_type
1474475424560838772,1236,1474475424620353046,/gps,1,1,39.7178366667,2.58665833333,43.8,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,1
1474475425577912207,1237,1474475425645518774,/gps,1,1,39.7178366667,2.58665833333,43.8,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,1
1474475426585097058,1238,1474475426649773762,/gps,1,1,39.7178366667,2.58665833333,43.8,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,1
1474475427501129955,1239,1474475427576391244,/gps,1,1,39.7178366667,2.58665833333,43.8,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,1
1474475428508246475,1240,1474475428579672969,/gps,1,1,39.7178366667,2.58665833333,43.8,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,1
1474475429514336854,1241,1474475429593705845,/gps,1,1,39.7178366667,2.58665833333,43.8,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,1
1474475430490892724,1242,1474475430569054420,/gps,1,1,39.7178366667,2.58665833333,43.8,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,1
1474475431508392706,1243,1474475431583402985,/gps,1,1,39.7178366667,2.58665833333,43.8,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,1
1474475432555531521,1244,1474475432636329651,/gps,1,1,39.7178366667,2.58665833333,43.8,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,1
1474475433512670675,1245,1474475433585526025,/gps,1,1,39.7178366667,2.58665833333,43.8,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,1
1474475434560950097,1246,1474475434646645143,/gps,1,1,39.7178366667,2.58665833333,43.8,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,1
1474475435546812040,1247,1474475435624709687,/gps,1,1,39.7178366667,2.58665833333,43.8,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,1
1474475436492839997,1248,1474475436570743494,/gps,1,1,39.7178366667,2.58665833333,43.8,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,1
1474475437550914107,1249,1474475437629951382,/gps,1,1,39.7178366667,2.58665833333,43.8,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,1
1474475438548046340,1250,1474475438630378800,/gps,1,1,39.7178366667,2.58665833333,43.8,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,1
1474475439505047702,1251,1474475439582039018,/gps,1,1,39.7178366667,2.58665833333,43.8,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,1
1474475440501305063,1252,1474475440584581842,/gps,1,1,39.7178366667,2.58665833333,43.8,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,1
1474475441548899106,1253,1474475441624973850,/gps,1,1,39.7178366667,2.58665833333,43.8,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,1
1474475442546749799,1254,1474475442622978787,/gps,1,1,39.7178366667,2.58665833333,43.8,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,1
1474475443554015110,1255,1474475443627687688,/gps,1,1,39.7178366667,2.58665833333,43.8,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,1
1474475444570198362,1256,1474475444651088468,/gps,1,1,39.7178383333,2.58665833333,43.8,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,1
