% frame a, frame b, inliers, ax, ay, az, aqx, aqy, aqz, aqw, bx, by, bz, bqx, bqy, bqz, bqw
59,297,99,-50.2627,-41.9093,1.93963,-0.0921646,-0.0948007,-0.0802414,0.987968,-49.7707,-42.5146,2.16069,-0.0489203,0.069152,0.63237,0.770022
59,296,87,-50.2627,-41.9093,1.93963,-0.0921646,-0.0948007,-0.0802414,0.987968,-49.6976,-43.0625,2.26579,-0.0423617,0.0909368,0.736264,0.669217
229,385,103,-46.0772,-30.1574,-1.46974,0.0162834,0.251672,0.959281,0.127184,-47.1191,-29.7042,-1.94524,-0.186548,-0.048962,-0.00528592,0.981211
128,299,22,-50.4998,-40.2895,1.51917,-0.0873766,-0.0858645,-0.120973,0.985068,-49.6024,-41.4449,1.78348,-0.079774,0.0834245,0.632645,0.765792
258,400,106,-44.2865,-37.3423,1.03807,-0.082252,-0.0579172,-0.0422917,0.994028,-42.8564,-37.0403,0.669515,-0.113246,-0.139022,-0.788484,0.588337
177,242,459,-51.7788,-32.8024,-1.06625,0.00705399,0.234743,0.840536,-0.488206,-51.9781,-32.7144,-1.0953,-0.0951481,-0.237031,-0.758483,0.599555
112,243,169,-51.7388,-33.9652,-0.780262,-0.0116067,0.277413,0.871458,-0.404313,-52.1488,-33.4393,-0.803546,-0.0769297,-0.204642,-0.748174,0.62645
153,209,212,-37.553,-37.7749,0.286325,-0.0115926,0.166568,0.643919,0.746651,-37.777,-37.7584,0.380234,-0.0536344,0.192682,0.574335,0.793811
117,181,111,-52.9391,-36.3143,0.340553,-0.0378282,-0.19581,-0.748661,0.632245,-53.1627,-36.2019,0.0669854,-0.102935,-0.132012,-0.613335,0.771879
38,180,286,-52.7005,-35.2512,-0.247365,0.0216212,0.230504,0.853712,-0.466451,-52.9401,-35.013,-0.106119,-0.0587177,-0.212736,-0.747349,0.62671
175,240,139,-50.9151,-31.7773,-1.286,-0.0184213,0.217288,0.918848,-0.328885,-51.4421,-31.1832,-1.53303,-0.0467802,-0.261293,-0.803345,0.53308
287,478,125,-45.8182,-45.5906,3.0721,0.0137362,0.100522,0.990349,0.0944235,-46.9919,-44.6829,2.72726,-0.101735,-0.0553422,-0.394832,0.911425
288,477,82,-46.288,-45.5642,3.08309,-0.00750358,0.132187,0.984343,0.11636,-47.14,-44.4238,2.74759,-0.0255112,-0.0845572,-0.427188,0.899839
289,415,53,-46.8346,-45.4826,3.09847,0.0166464,0.139221,0.984749,0.103007,-46.8002,-45.1311,2.90983,-0.0133408,0.150522,0.984997,-0.083342
194,403,56,-44.6498,-39.2148,1.50066,-0.0825113,0.0154374,-0.0994197,0.991499,-43.4756,-39.2433,1.34558,-0.111668,-0.139301,-0.790238,0.586216
226,387,10,-43.3806,-30.8839,-1.45738,0.00716656,0.230337,0.967382,0.105189,-45.1333,-29.9875,-1.65898,-0.175448,-0.0492342,-0.141464,0.973027
262,331,171,-41.0994,-37.9507,0.771593,-0.102281,0.044819,-0.119817,0.986496,-40.3452,-37.2396,0.646279,-0.150384,-0.114376,-0.784042,0.591254
40,439,93,-53.0723,-35.8243,0.0372042,-0.0818771,-0.236257,-0.7805,0.572973,-53.8949,-37.024,0.497075,-0.104307,0.048274,0.623955,0.772962
198,333,91,-42.2185,-39.6393,1.45216,-0.119723,-0.0245534,-0.09402,0.98804,-41.0624,-39.2087,1.34725,-0.138711,-0.112413,-0.781664,0.597598
251,303,139,-49.3536,-36.8577,0.694998,-0.126947,-0.0384345,-0.0941222,0.986685,-48.6527,-37.797,0.977516,-0.0755248,0.0508654,0.583765,0.806801
156,210,69,-37.3648,-36.2456,-0.245481,0.0236302,0.183908,0.793789,0.579239,-37.3364,-36.2988,-0.32978,-0.0679232,0.215296,0.611819,0.758097
7,271,56,-39.5296,-42.9371,2.05112,-0.0405996,0.12982,0.601405,0.787281,-38.8271,-41.7332,1.52347,-0.146765,-0.0591819,-0.757229,0.633689
42,182,6,-53.4235,-36.6154,0.3906,-0.0739192,-0.205385,-0.762171,0.609465,-53.1043,-36.4702,0.234564,0.0164119,-0.193711,-0.455337,0.868835
112,179,79,-51.7388,-33.9652,-0.780262,-0.0116067,0.277413,0.871458,-0.404313,-52.3132,-33.4565,-0.747124,-0.0250823,-0.244723,-0.797121,0.551435
25,463,25,-43.928,-35.883,0.600882,0.0406784,0.166591,0.976917,0.12738,-44.7062,-34.6487,-0.0314343,-0.0819216,-0.17313,-0.751582,0.631221
315,387,81,-44.8802,-30.801,-1.62612,-0.149456,-0.000821891,0.0763818,0.985813,-45.1333,-29.9875,-1.65898,-0.175448,-0.0492342,-0.141464,0.973027
285,348,58,-44.2469,-45.8712,2.94701,0.0271299,0.11147,0.987504,0.108048,-44.1895,-45.8613,2.77329,0.000462819,0.141624,0.985942,-0.0886607
284,347,72,-43.6874,-45.9352,2.87183,0.0152722,0.121099,0.991049,0.0540787,-43.6617,-45.6448,2.90209,-0.0216238,0.0612041,0.997852,-0.0088784
221,320,38,-39.6203,-31.7422,-1.33395,0.0894465,0.218781,0.956079,0.173342,-41.6363,-31.4781,-1.37836,-0.189692,-0.0449908,-0.167762,0.966358
315,388,93,-44.8802,-30.801,-1.62612,-0.149456,-0.000821891,0.0763818,0.985813,-44.8617,-30.0864,-1.67511,-0.158784,-0.0345794,-0.140662,0.97663
226,389,52,-43.3806,-30.8839,-1.45738,0.00716656,0.230337,0.967382,0.105189,-44.4993,-30.2683,-1.69864,-0.169774,-0.0359138,-0.131765,0.975974
