% timestamp, frame id, x, y, z, qx, qy, qz, qw
1474477251.971463,57,-51.244638,-41.731434,1.896720,-0.095827,-0.066215,-0.125953,0.985174
1474477254.505781,58,-50.608177,-41.851253,1.961793,-0.078257,-0.081130,-0.091153,0.989437
1474477255.839528,59,-50.262657,-41.909332,1.939632,-0.092165,-0.094801,-0.080241,0.987968
1474477258.371202,60,-49.564884,-42.081029,2.036959,-0.084480,-0.073153,-0.081236,0.990410
1474477260.371176,61,-49.019672,-42.060591,2.141408,-0.079179,-0.062432,-0.087776,0.991024
1474477261.571119,62,-48.481838,-42.188253,2.258583,-0.057513,-0.072063,-0.093138,0.991375
1474477263.704412,63,-47.743841,-42.328530,2.322822,-0.097197,-0.119037,-0.084599,0.984493
1474477264.771032,64,-47.308065,-42.402452,2.416611,-0.067533,-0.108487,-0.085430,0.988115
1474477265.840147,65,-46.817489,-42.535454,2.432707,-0.050207,-0.088369,-0.070242,0.992339
1474477268.371010,66,-45.936644,-42.563302,2.559080,-0.044756,-0.050038,-0.077981,0.994692
1474477270.237554,67,-45.059050,-42.725133,2.582564,-0.066053,-0.026508,-0.100982,0.992339
1474477271.704162,68,-44.567323,-42.771702,2.624283,-0.065078,-0.022913,-0.102514,0.992336
1474477272.504132,69,-44.245743,-42.866903,2.676554,-0.048607,-0.013602,-0.099650,0.993742
1474477273.571556,70,-43.801236,-42.976548,2.626088,-0.034029,0.000387,-0.099109,0.994494
1474477275.838130,71,-42.812757,-43.061802,2.440912,-0.057400,0.083774,-0.096585,0.990131
1474477276.904006,72,-42.522487,-43.281742,2.524621,-0.064657,0.099506,-0.090399,0.988810
1474477279.304682,73,-41.879441,-43.458290,2.387550,-0.084606,0.050505,-0.105763,0.989497
1474477281.970554,74,-41.124926,-43.682663,2.400387,-0.080139,0.037093,-0.148409,0.984975
1474477284.637830,75,-40.516428,-44.002879,2.215107,-0.173779,0.061819,0.024588,0.982535
1474477287.304692,76,-39.673380,-43.785707,2.106098,0.022017,0.153368,0.315117,0.936320
1474477289.837687,77,-39.291330,-43.451969,1.859118,-0.035110,0.146821,0.454582,0.877819
1474477292.636887,78,-38.760017,-42.926091,1.741140,-0.008930,0.142346,0.478532,0.866409
1474477295.436857,79,-38.372939,-42.328163,1.683332,0.044467,0.131805,0.559651,0.816971
1474477296.503486,80,-38.252136,-42.051696,1.683155,0.036141,0.119560,0.575865,0.807947
1474477298.903483,81,-38.175729,-41.497010,1.652522,0.023691,0.151002,0.619846,0.769693
1474477299.970032,82,-38.116287,-41.205022,1.481403,-0.000726,0.168509,0.630100,0.758009
1474477301.836664,83,-38.036851,-40.589717,1.274480,-0.007618,0.201719,0.624993,0.754079
1474477302.770070,84,-38.023863,-40.186393,1.101104,-0.011040,0.204302,0.622968,0.755016
1474477303.836592,85,-37.919870,-39.666633,0.925855,-0.029386,0.217837,0.631090,0.743915
1474477304.904022,86,-37.861574,-39.323857,0.772434,0.002543,0.228469,0.637355,0.735917
1474477306.237257,87,-37.893190,-39.044032,0.685477,-0.006760,0.167043,0.630736,0.757775
1474477308.903121,88,-37.729196,-38.292352,0.461762,0.006567,0.181758,0.642823,0.744110
1474477311.170373,89,-37.583921,-37.813639,0.338779,0.009022,0.187888,0.778654,0.598594
1474477313.304483,90,-37.817423,-37.190058,0.228338,0.070803,0.194024,0.856820,0.472441
1474477316.636207,91,-38.242575,-36.587884,0.131504,0.057527,0.236414,0.908658,0.339321
1474477317.702889,92,-38.570008,-36.346786,0.082465,0.046750,0.197539,0.920237,0.334598
1474477321.569418,93,-39.266959,-35.861337,-0.047317,0.074223,0.166192,0.951163,0.249318
1474477322.636080,94,-39.535808,-35.622441,-0.038826,0.071934,0.208223,0.955620,0.195598
1474477324.236048,95,-39.931816,-35.349505,0.055277,0.059697,0.183106,0.966065,0.172126
1474477329.435834,96,-41.172783,-34.977678,-0.117447,0.023396,0.172756,0.974042,0.144395
1474477330.635896,97,-41.460252,-34.919098,-0.186796,0.018501,0.162813,0.976805,0.137849
