%time,field.header.seq,field.header.stamp,field.header.frame_id,field.status.status,field.status.service,field.latitude,field.longitude,field.altitude,field.position_covariance0,field.position_covariance1,field.position_covariance2,field.position_covariance3,field.position_covariance4,field.position_covariance5,field.position_covariance6,field.position_covariance7,field.position_covariance8,field.position_covariance_type
1474475425576643370,1237,1474475425645518774,/gps,1,1,39.7178366667,2.58665833333,43.8,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,1
1474475426584352315,1238,1474475426649773762,/gps,1,1,39.7178366667,2.58665833333,43.8,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,1
1474475427500069408,1239,1474475427576391244,/gps,1,1,39.7178366667,2.58665833333,43.8,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,1
1474475428507496581,1240,1474475428579672969,/gps,1,1,39.7178366667,2.58665833333,43.8,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,1
1474475429514069436,1241,1474475429593705845,/gps,1,1,39.7178366667,2.58665833333,43.8,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,1
1474475430491362985,1242,1474475430569054420,/gps,1,1,39.7178366667,2.58665833333,43.8,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,1
1474475431508556318,1243,1474475431583402985,/gps,1,1,39.7178366667,2.58665833333,43.8,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,1
1474475432558448477,1244,1474475432636329651,/gps,1,1,39.7178366667,2.58665833333,43.8,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,1
1474475433514961256,1245,1474475433585526025,/gps,1,1,39.7178366667,2.58665833333,43.8,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,1
1474475434561827650,1246,1474475434646645143,/gps,1,1,39.7178366667,2.58665833333,43.8,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,1
1474475435547783295,1247,1474475435624709687,/gps,1,1,39.7178366667,2.58665833333,43.8,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,1
1474475436492781607,1248,1474475436570743494,/gps,1,1,39.7178366667,2.58665833333,43.8,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,1
1474475437548617100,1249,1474475437629951382,/gps,1,1,39.7178366667,2.58665833333,43.8,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,1
1474475438555780860,1250,1474475438630378800,/gps,1,1,39.7178366667,2.58665833333,43.8,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,1
1474475439508737816,1251,1474475439582039018,/gps,1,1,39.7178366667,2.58665833333,43.8,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,1
1474475440502357153,1252,1474475440584581842,/gps,1,1,39.7178366667,2.58665833333,43.8,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,1
1474475441549003068,1253,1474475441624973850,/gps,1,1,39.7178366667,2.58665833333,43.8,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,1
1474475442543745654,1254,1474475442622978787,/gps,1,1,39.7178366667,2.58665833333,43.8,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,1
1474475443548196631,1255,1474475443627687688,/gps,1,1,39.7178366667,2.58665833333,43.8,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,1
1474475444574598911,1256,1474475444651088468,/gps,1,1,39.7178383333,2.58665833333,43.8,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,1
1474475445550886888,1257,1474475445626388771,/gps,1,1,39.7178383333,2.58665833333,43.8,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,1
1474475446564235387,1258,1474475446646897904,/gps,1,1,39.7178383333,2.58665833333,43.8,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,1
1474475447571050938,1259,1474475447651090673,/gps,1,1,39.7178383333,2.58665833333,43.8,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,1
1474475448501933755,1260,1474475448579770408,/gps,1,1,39.7178383333,2.58665833333,43.8,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,1
1474475449498102977,1261,1474475449577390634,/gps,1,1,39.7178383333,2.58665833333,43.8,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,1
1474475450515324258,1262,1474475450592361664,/gps,1,1,39.7178383333,2.58665833333,43.8,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,1
1474475451517225882,1263,1474475451596918575,/gps,1,1,39.7178383333,2.58665833333,43.8,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,1
