%time,field.header.seq,field.header.stamp,field.header.frame_id,field.poses0.header.seq,field.poses0.header.stamp,field.poses0.header.frame_id,field.poses0.pose.position.x,field.poses0.pose.position.y,field.poses0.pose.position.z,field.poses0.pose.orientation.x,field.poses0.pose.orientation.y,field.poses0.pose.orientation.z,field.poses0.pose.orientation.w,field.poses1.header.seq,field.poses1.header.stamp,field.poses1.header.frame_id,field.poses1.pose.position.x,field.poses1.pose.position.y,field.poses1.pose.position.z,field.poses1.pose.orientation.x,field.poses1.pose.orientation.y,field.poses1.pose.orientation.z,field.poses1.pose.orientation.w,field.poses2.header.seq,field.poses2.header.stamp,field.poses2.header.frame_id,field.poses2.pose.position.x,field.poses2.pose.position.y,field.poses2.pose.position.z,field.poses2.pose.orientation.x,field.poses2.pose.orientation.y,field.poses2.pose.orientation.z,field.poses2.pose.orientation.w,field.poses3.header.seq,field.poses3.header.stamp,field.poses3.header.frame_id,field.poses3.pose.position.x,field.poses3.pose.position.y,field.poses3.pose.position.z,field.poses3.pose.orientation.x,field.poses3.pose.orientation.y,field.poses3.pose.orientation.z,field.poses3.pose.orientation.w,field.poses4.header.seq,field.poses4.header.stamp,field.poses4.header.frame_id,field.poses4.pose.position.x,field.poses4.pose.position.y,field.poses4.pose.position.z,field.poses4.pose.orientation.x,field.poses4.pose.orientation.y,field.poses4.pose.orientation.z,field.poses4.pose.orientation.w,field.poses5.header.seq,field.poses5.header.stamp,field.poses5.header.frame_id,field.poses5.pose.position.x,field.poses5.pose.position.y,field.poses5.pose.position.z,field.poses5.pose.orientation.x,field.poses5.pose.orientation.y,field.poses5.pose.orientation.z,field.poses5.pose.orientation.w,field.poses6.header.seq,field.poses6.header.stamp,field.poses6.header.frame_id,field.poses6.pose.position.x,field.poses6.pose.position.y,field.poses6.pose.position.z,field.poses6.pose.orientation.x,field.poses6.pose.orientation.y,field.poses6.pose.orientation.z,field.poses6.pose.orientation.w
1474475390350888472,1,1474475390348860979,map,0,0,map,-27.3555602307,-23.5219646926,0.0,0.0,0.0,0.0,0.0,0,0,map,-27.3555602307,-23.5219646926,1.5,0.0,0.0,0.0,0.0,0,0,map,-38.007608186,-33.5258055999,1.5,0.0,0.0,0.0,0.0,0,0,map,-49.0027201563,-43.7603291477,1.5,0.0,0.0,0.0,0.0,0,0,map,-59.5392662459,-54.5685109164,1.5,0.0,0.0,0.0,0.0,0,0,map,-69.8426311738,-66.0626789961,1.5,0.0,0.0,0.0,0.0,0,0,map,-69.8426311738,-66.0626789961,0.0,0.0,0.0,0.0,0.0
1474475398621965780,2,1474475390348860979,map,0,0,map,-27.3555602307,-23.5219646926,0.0,0.0,0.0,0.0,0.0,0,0,map,-27.3555602307,-23.5219646926,1.5,0.0,0.0,0.0,0.0,0,0,map,-38.007608186,-33.5258055999,1.5,0.0,0.0,0.0,0.0,0,0,map,-49.0027201563,-43.7603291477,1.5,0.0,0.0,0.0,0.0,0,0,map,-59.5392662459,-54.5685109164,1.5,0.0,0.0,0.0,0.0,0,0,map,-69.8426311738,-66.0626789961,1.5,0.0,0.0,0.0,0.0,0,0,map,-69.8426311738,-66.0626789961,0.0,0.0,0.0,0.0,0.0
1474475492667155722,3,1474475390348860979,map,0,0,map,-27.3555602307,-23.5219646926,0.0,0.0,0.0,0.0,0.0,0,0,map,-27.3555602307,-23.5219646926,1.5,0.0,0.0,0.0,0.0,0,0,map,-38.007608186,-33.5258055999,1.5,0.0,0.0,0.0,0.0,0,0,map,-49.0027201563,-43.7603291477,1.5,0.0,0.0,0.0,0.0,0,0,map,-59.5392662459,-54.5685109164,1.5,0.0,0.0,0.0,0.0,0,0,map,-69.8426311738,-66.0626789961,1.5,0.0,0.0,0.0,0.0,0,0,map,-69.8426311738,-66.0626789961,0.0,0.0,0.0,0.0,0.0
1474475591945697131,4,1474475390348860979,map,0,0,map,-27.3555602307,-23.5219646926,0.0,0.0,0.0,0.0,0.0,0,0,map,-27.3555602307,-23.5219646926,1.5,0.0,0.0,0.0,0.0,0,0,map,-38.007608186,-33.5258055999,1.5,0.0,0.0,0.0,0.0,0,0,map,-49.0027201563,-43.7603291477,1.5,0.0,0.0,0.0,0.0,0,0,map,-59.5392662459,-54.5685109164,1.5,0.0,0.0,0.0,0.0,0,0,map,-69.8426311738,-66.0626789961,1.5,0.0,0.0,0.0,0.0,0,0,map,-69.8426311738,-66.0626789961,0.0,0.0,0.0,0.0,0.0
1474475752598799925,5,1474475390348860979,map,0,0,map,-27.3555602307,-23.5219646926,0.0,0.0,0.0,0.0,0.0,0,0,map,-27.3555602307,-23.5219646926,1.5,0.0,0.0,0.0,0.0,0,0,map,-38.007608186,-33.5258055999,1.5,0.0,0.0,0.0,0.0,0,0,map,-49.0027201563,-43.7603291477,1.5,0.0,0.0,0.0,0.0,0,0,map,-59.5392662459,-54.5685109164,1.5,0.0,0.0,0.0,0.0,0,0,map,-69.8426311738,-66.0626789961,1.5,0.0,0.0,0.0,0.0,0,0,map,-69.8426311738,-66.0626789961,0.0,0.0,0.0,0.0,0.0
1474475885927655038,6,1474475390348860979,map,0,0,map,-27.3555602307,-23.5219646926,0.0,0.0,0.0,0.0,0.0,0,0,map,-27.3555602307,-23.5219646926,1.5,0.0,0.0,0.0,0.0,0,0,map,-38.007608186,-33.5258055999,1.5,0.0,0.0,0.0,0.0,0,0,map,-49.0027201563,-43.7603291477,1.5,0.0,0.0,0.0,0.0,0,0,map,-59.5392662459,-54.5685109164,1.5,0.0,0.0,0.0,0.0,0,0,map,-69.8426311738,-66.0626789961,1.5,0.0,0.0,0.0,0.0,0,0,map,-69.8426311738,-66.0626789961,0.0,0.0,0.0,0.0,0.0
1474476020779208354,7,1474475390348860979,map,0,0,map,-27.3555602307,-23.5219646926,0.0,0.0,0.0,0.0,0.0,0,0,map,-27.3555602307,-23.5219646926,1.5,0.0,0.0,0.0,0.0,0,0,map,-38.007608186,-33.5258055999,1.5,0.0,0.0,0.0,0.0,0,0,map,-49.0027201563,-43.7603291477,1.5,0.0,0.0,0.0,0.0,0,0,map,-59.5392662459,-54.5685109164,1.5,0.0,0.0,0.0,0.0,0,0,map,-69.8426311738,-66.0626789961,1.5,0.0,0.0,0.0,0.0,0,0,map,-69.8426311738,-66.0626789961,0.0,0.0,0.0,0.0,0.0
1474476157728697261,8,1474475390348860979,map,0,0,map,-27.3555602307,-23.5219646926,0.0,0.0,0.0,0.0,0.0,0,0,map,-27.3555602307,-23.5219646926,1.5,0.0,0.0,0.0,0.0,0,0,map,-38.007608186,-33.5258055999,1.5,0.0,0.0,0.0,0.0,0,0,map,-49.0027201563,-43.7603291477,1.5,0.0,0.0,0.0,0.0,0,0,map,-59.5392662459,-54.5685109164,1.5,0.0,0.0,0.0,0.0,0,0,map,-69.8426311738,-66.0626789961,1.5,0.0,0.0,0.0,0.0,0,0,map,-69.8426311738,-66.0626789961,0.0,0.0,0.0,0.0,0.0
