%time,field.header.seq,field.header.stamp,field.header.frame_id,field.MX,field.MY,field.MZ,field.GX,field.GY,field.GZ,field.AX,field.AY,field.AZ
1474475393650993556,557,1474475393561870595,imu,0.0404,0.3755,-0.2238,0.00383972435439,-0.0226892802759,-0.0310668606855,-0.96497436,-9.55559976,-0.05491724
1474475393751575732,558,1474475393654706059,imu,0.039,0.3749,-0.2248,0.00872664625997,0.00820304748437,-0.0328121899375,-0.83160392,-9.48499188,-0.06276256
1474475393852405511,559,1474475393757522437,imu,0.0381,0.3757,-0.2251,0.013962634016,0.0548033385126,-0.0219911485751,-0.76099604,-9.4928372,-0.10198916
1474475393952997929,560,1474475393856074603,imu,0.0393,0.3749,-0.226,0.0200712863979,0.0668461103514,-0.00488692190558,-0.79237732,-9.5712904,-0.0784532
1474475394053720325,561,1474475393952072888,imu,0.0409,0.3743,-0.2267,0.0254818070791,0.0788888821901,-0.00453785605519,-0.77668668,-9.69681552,-0.08629852
1474475394154314483,562,1474475394054335226,imu,0.0421,0.3728,-0.2285,0.0293215314335,0.0631809189222,-0.00872664625997,-0.76099604,-9.8458766,-0.08629852
1474475394244870628,563,1474475394151976886,imu,0.0429,0.3728,-0.2305,0.046425758103,0.0408407044967,-0.0268780704807,-0.75315072,-9.90863916,-0.08629852
1474475394345483306,564,1474475394249459604,imu,0.0433,0.372,-0.232,0.0408407044967,0.0275762021815,-0.0520108117094,-0.69823348,-9.95571108,-0.00784532
1474475394446060389,565,1474475394347069760,imu,0.0423,0.3704,-0.2337,0.0387463093943,0.0165806278939,-0.0764454212374,-0.71392412,-9.8851032,0.02353596
1474475394546655391,566,1474475394449564495,imu,0.0398,0.369,-0.2356,0.0183259571459,0.0244346095279,-0.0774926187885,-0.72176944,-9.77526872,0.12552512
1474475394647226676,567,1474475394547094098,imu,0.0373,0.3682,-0.237,-0.0143116998664,0.0471238898038,-0.053407075111,-0.79237732,-9.6889702,0.12552512
1474475394748187218,568,1474475394644833185,imu,0.0377,0.368,-0.236,-0.0439822971503,0.0548033385126,-0.00925024503557,-0.85513988,-9.72035148,0.10198916
1474475394838583829,569,1474475394747692034,imu,0.0389,0.369,-0.2346,-0.0680678408278,0.0712094334814,0.0233874119767,-0.91005712,-9.78311404,0.03138128
1474475394939177773,570,1474475394844801079,imu,0.0411,0.3717,-0.2323,-0.0701622359302,0.0748746249106,0.0345575191895,-0.91790244,-9.82234064,0.02353596
1474475395039772595,571,1474475394942936560,imu,0.0439,0.3732,-0.2303,-0.0420624349731,0.0617846555206,0.0160570291183,-0.9414384,-9.8851032,-0.00784532
1474475395140372602,572,1474475395040149454,imu,0.0458,0.3747,-0.2296,-0.000698131700798,0.0401425727959,-0.00820304748437,-0.84729456,-9.79880468,-0.05491724
1474475395230901603,573,1474475395143038255,imu,0.0469,0.3734,-0.2304,0.0324631240871,0.0240855436775,-0.00593411945678,-0.77668668,-9.82234064,-0.02353596
1474475395331526019,574,1474475395240040146,imu,0.0471,0.3727,-0.2315,0.0598647933434,0.0191986217719,0.00977384381117,-0.77668668,-9.71250616,-0.1176798
1474475395432086751,575,1474475395337368391,imu,0.0481,0.3712,-0.2341,0.0565486677646,0.0258308729295,0.0296705972839,-0.76099604,-9.71250616,-0.10983448
1474475395532820292,576,1474475395439790158,imu,0.0504,0.3704,-0.2359,0.0328121899375,0.0420624349731,0.0488692190558,-0.75315072,-9.65758892,-0.07060788
1474475395633574926,577,1474475395537206841,imu,0.0525,0.37,-0.2375,-0.0132645023152,0.0541052068118,0.0520108117094,-0.81591328,-9.65758892,-0.04707192
1474475395734171269,578,1474475395634983048,imu,0.0558,0.3719,-0.2372,-0.060388392119,0.0705113017806,0.048171087355,-0.87083052,-9.72035148,-0.06276256
1474475395824707761,579,1474475395732338089,imu,0.0596,0.3733,-0.2349,-0.0945968454581,0.0624827872214,0.0425860337487,-0.92574776,-9.83803128,-0.05491724
1474475395925399248,580,1474475395834450772,imu,0.0624,0.3765,-0.2316,-0.107512281923,0.0417133691227,0.0289724655831,-1.03558224,-10.01062832,-0.12552512
1474475396026003431,581,1474475395932567564,imu,0.0635,0.3774,-0.228,-0.0980875039621,0.0207694180987,0.00698131700798,-1.0983448,-10.20676132,-0.21182364
1474475396126810947,582,1474475396030330467,imu,0.0651,0.3802,-0.2247,-0.0649262481742,-0.00488692190558,-0.012217304764,-1.0983448,-10.32444112,-0.28243152
1474475396227407366,583,1474475396133495258,imu,0.0633,0.3812,-0.2219,-0.013962634016,-0.0261799387799,-0.0303687289847,-1.05127288,-10.30090516,-0.30596748
1474475396328034273,584,1474475396231010636,imu,0.0622,0.3813,-0.2225,0.0417133691227,-0.0279252680319,-0.0408407044967,-0.9022118,-10.19107068,-0.26674088
1474475396428634892,585,1474475396328789765,imu,0.0594,0.3791,-0.2238,0.0869173967493,-0.00733038285838,-0.0523598775598,-0.80022264,-10.002783,-0.196133
1474475396529377146,586,1474475396431427797,imu,0.0588,0.377,-0.2273,0.115191730632,0.0328121899375,-0.0380481776935,-0.85513988,-9.79880468,-0.12552512
1474475396619925801,587,1474475396529165131,imu,0.0589,0.3751,-0.2319,0.108210413624,0.0589921287174,-0.0191986217719,-0.97281968,-9.61836232,-0.04707192
1474475396720532976,588,1474475396626264067,imu,0.0587,0.3725,-0.236,0.0836012711705,0.0808087443673,-0.00506145483078,-1.09049948,-9.54775444,0.0392266
1474475396821132573,589,1474475396724058997,imu,0.0606,0.3696,-0.24,0.0439822971503,0.0851720674973,0.00872664625997,-1.12972608,-9.50068252,0.1176798
1474475396921686395,590,1474475396826616305,imu,0.0628,0.3703,-0.2414,0.000698131700798,0.074351026135,0.00558505360638,-1.09049948,-9.50852784,0.12552512
1474475397022305947,591,1474475396924461920,imu,0.0651,0.37,-0.241,-0.0244346095279,0.0541052068118,-0.0164060949687,-1.01204628,-9.4928372,0.05491724
1474475397122896560,592,1474475397023849230,imu,0.065,0.3709,-0.2408,-0.0268780704807,0.0387463093943,-0.046425758103,-0.83944924,-9.48499188,0.0
1474475397213436983,593,1474475397126336247,imu,0.0643,0.3715,-0.2401,-0.013962634016,0.0223402144255,-0.0541052068118,-0.63547092,-9.53990912,-0.08629852
1474475397314035812,594,1474475397222103620,imu,0.0631,0.3704,-0.2399,0.014835298642,0.0314159265359,-0.0425860337487,-0.47856452,-9.59482636,-0.03138128
1474475397414657626,595,1474475397319664368,imu,0.0621,0.3708,-0.2403,0.0359537825911,0.0340339204139,-0.00558505360638,-0.47856452,-9.6889702,-0.06276256
1474475397515237352,596,1474475397417026190,imu,0.0626,0.3703,-0.2419,0.0474729556542,0.0415388361975,0.0333357887131,-0.53348176,-9.75173276,-0.0392266
1474475397615873945,597,1474475397519271701,imu,0.0652,0.3693,-0.2446,0.0474729556542,0.0478220215046,0.0561996019142,-0.65116156,-9.78311404,-0.06276256
1474475397706400904,598,1474475397616740435,imu,0.0673,0.3681,-0.2462,0.0356047167407,0.0315904594611,0.0607374579694,-0.72176944,-9.79880468,0.03138128
1474475397807062983,599,1474475397716592598,imu,0.0715,0.3673,-0.247,0.0143116998664,0.0198967534727,0.0537561409614,-0.80022264,-9.75173276,0.04707192
