%time,field.header.seq,field.header.stamp,field.header.frame_id,field.radiation_type,field.field_of_view,field.min_range,field.max_range,field.range
1475331084805200252,158,1475331084796797030,dvl,0,0.0174444448203,0.5,75.0,16.2890892029
1475331085004937739,159,1475331084972241763,dvl,0,0.0174444448203,0.5,75.0,16.287853241
1475331085204947550,160,1475331085200026168,dvl,0,0.0174444448203,0.5,75.0,16.2867126465
1475331085404827371,161,1475331085389842175,dvl,0,0.0174444448203,0.5,75.0,16.2841243744
1475331085604862882,162,1475331085579030651,dvl,0,0.0174444448203,0.5,75.0,16.2813396454
1475331085804872191,163,1475331085804314624,dvl,0,0.0174444448203,0.5,75.0,16.2788066864
1475331086004967621,164,1475331085983608441,dvl,0,0.0174444448203,0.5,75.0,16.2752189636
1475331086205037687,165,1475331086150169118,dvl,0,0.0174444448203,0.5,75.0,16.2719650269
1475331086404918159,166,1475331086393559752,dvl,0,0.0174444448203,0.5,75.0,16.2692089081
1475331086605181120,167,1475331086580666492,dvl,0,0.0174444448203,0.5,75.0,16.2640342712
1475331086805331767,168,1475331086750770186,dvl,0,0.0174444448203,0.5,75.0,16.2593708038
1475331087004899376,169,1475331086991604225,dvl,0,0.0174444448203,0.5,75.0,16.2544250488
1475331087205090869,170,1475331087154306879,dvl,0,0.0174444448203,0.5,75.0,16.2493648529
1475331087404989035,171,1475331087401898286,dvl,0,0.0174444448203,0.5,75.0,16.2453479767
1475331087605618295,172,1475331087585344147,dvl,0,0.0174444448203,0.5,75.0,16.23828125
1475331087804955890,173,1475331087756799059,dvl,0,0.0174444448203,0.5,75.0,16.2323474884
1475331088005079617,174,1475331087947194362,dvl,0,0.0174444448203,0.5,75.0,16.2277202606
1475331088204976806,175,1475331088184344398,dvl,0,0.0174444448203,0.5,75.0,16.2197036743
1475331088404900268,176,1475331088371561044,dvl,0,0.0174444448203,0.5,75.0,16.2130622864
1475331088604946749,177,1475331088554692601,dvl,0,0.0174444448203,0.5,75.0,16.206205368
1475331088804849984,178,1475331088792580224,dvl,0,0.0174444448203,0.5,75.0,16.1991615295
1475331089005241385,179,1475331088982774080,dvl,0,0.0174444448203,0.5,75.0,16.1919136047
1475331089205051569,180,1475331089153051286,dvl,0,0.0174444448203,0.5,75.0,16.1844654083
1475331089404798694,181,1475331089392531418,dvl,0,0.0174444448203,0.5,75.0,16.1746273041
1475331089604890640,182,1475331089580223596,dvl,0,0.0174444448203,0.5,75.0,16.1632976532
1475331089805072015,183,1475331089763334268,dvl,0,0.0174444448203,0.5,75.0,16.1518707275
1475331090004902327,184,1475331089993759222,dvl,0,0.0174444448203,0.5,75.0,16.1432209015
1475331090204973425,185,1475331090195578195,dvl,0,0.0174444448203,0.5,75.0,16.1315841675
1475331090405149853,186,1475331090393966544,dvl,0,0.0174444448203,0.5,75.0,16.1198139191
1475331090606550354,187,1475331090549208216,dvl,0,0.0174444448203,0.5,75.0,16.1049861908
1475331090804900217,188,1475331090789579005,dvl,0,0.0174444448203,0.5,75.0,16.0930347443
1475331091004877589,189,1475331090970797392,dvl,0,0.0174444448203,0.5,75.0,16.081029892
1475331091205066627,190,1475331091149287678,dvl,0,0.0174444448203,0.5,75.0,16.0690593719
1475331091405188959,191,1475331091379821550,dvl,0,0.0174444448203,0.5,75.0,16.0571365356
1475331091604962923,192,1475331091558876559,dvl,0,0.0174444448203,0.5,75.0,16.0451850891
1475331091805006652,193,1475331091794809100,dvl,0,0.0174444448203,0.5,75.0,16.0362014771
1475331092005170274,194,1475331091990024129,dvl,0,0.0174444448203,0.5,75.0,16.0211963654
1475331092204915982,195,1475331092169610792,dvl,0,0.0174444448203,0.5,75.0,16.0090770721
1475331092404858485,196,1475331092355584710,dvl,0,0.0174444448203,0.5,75.0,15.9960832596
1475331092605126143,197,1475331092547139731,dvl,0,0.0174444448203,0.5,75.0,15.9855556488
1475331092805494620,198,1475331092742589553,dvl,0,0.0174444448203,0.5,75.0,15.9709320068
1475331093005713464,199,1475331092946299316,dvl,0,0.0174444448203,0.5,75.0,15.9578514099
1475331093205229732,200,1475331093183786182,dvl,0,0.0174444448203,0.5,75.0,15.9415845871
1475331093404980174,201,1475331093357081832,dvl,0,0.0174444448203,0.5,75.0,15.9286365509
1475331093604940038,202,1475331093583253671,dvl,0,0.0174444448203,0.5,75.0,15.9157323837
1475331093805009263,203,1475331093758219671,dvl,0,0.0174444448203,0.5,75.0,15.9028511047
1475331094005240423,204,1475331093947378055,dvl,0,0.0174444448203,0.5,75.0,15.8932237625
1475331094205234352,205,1475331094183737999,dvl,0,0.0174444448203,0.5,75.0,15.8771724701
1475331094405009089,206,1475331094380315321,dvl,0,0.0174444448203,0.5,75.0,15.8642721176
1475331094604844865,207,1475331094566936608,dvl,0,0.0174444448203,0.5,75.0,15.8513841629
1475331094805218931,208,1475331094750646921,dvl,0,0.0174444448203,0.5,75.0,15.839179039
1475331095004999587,209,1475331094989761100,dvl,0,0.0174444448203,0.5,75.0,15.8272361755
1475331095204979731,210,1475331095156053725,dvl,0,0.0174444448203,0.5,75.0,15.8153753281
1475331095404912327,211,1475331095394664350,dvl,0,0.0174444448203,0.5,75.0,15.8065404892
1475331095605002595,212,1475331095584940422,dvl,0,0.0174444448203,0.5,75.0,15.7922315598
1475331095805200981,213,1475331095764066963,dvl,0,0.0174444448203,0.5,75.0,15.7812223434
1475331096004927467,214,1475331095957823139,dvl,0,0.0174444448203,0.5,75.0,15.7703084946
1475331096204950892,215,1475331096160205537,dvl,0,0.0174444448203,0.5,75.0,15.759513855
1475331096405071120,216,1475331096346213058,dvl,0,0.0174444448203,0.5,75.0,15.7514982224
1475331096604981807,217,1475331096591690994,dvl,0,0.0174444448203,0.5,75.0,15.7383184433
1475331096804926140,218,1475331096759711273,dvl,0,0.0174444448203,0.5,75.0,15.7279634476
1475331097004962528,219,1475331096950473119,dvl,0,0.0174444448203,0.5,75.0,15.7178096771
1475331097204952788,220,1475331097178791720,dvl,0,0.0174444448203,0.5,75.0,15.707868576
1475331097404897869,221,1475331097346959276,dvl,0,0.0174444448203,0.5,75.0,15.700553894
1475331097604872329,222,1475331097592914545,dvl,0,0.0174444448203,0.5,75.0,15.6886720657
1475331097804966998,223,1475331097780087980,dvl,0,0.0174444448203,0.5,75.0,15.6794586182
1475331098005115188,224,1475331097950444069,dvl,0,0.0174444448203,0.5,75.0,15.6705188751
1475331098204961476,225,1475331098182858102,dvl,0,0.0174444448203,0.5,75.0,15.661863327
1475331098404926075,226,1475331098364500507,dvl,0,0.0174444448203,0.5,75.0,15.653553009
1475331098605275449,227,1475331098549634264,dvl,0,0.0174444448203,0.5,75.0,15.647974968
1475331098806165715,228,1475331098784530266,dvl,0,0.0174444448203,0.5,75.0,15.6438617706
1475331099004931174,229,1475331098973602978,dvl,0,0.0174444448203,0.5,75.0,15.640048027
1475331099205041704,230,1475331099163092237,dvl,0,0.0174444448203,0.5,75.0,15.6365356445
1475331099404932760,231,1475331099365267266,dvl,0,0.0174444448203,0.5,75.0,15.6333303452
1475331099604991684,232,1475331099564136153,dvl,0,0.0174444448203,0.5,75.0,15.6304445267
1475331099804894786,233,1475331099756050940,dvl,0,0.0174444448203,0.5,75.0,15.627907753
1475331100005198291,234,1475331099993709828,dvl,0,0.0174444448203,0.5,75.0,15.6260814667
1475331100204885451,235,1475331100178311076,dvl,0,0.0174444448203,0.5,75.0,15.624879837
1475331100405002031,236,1475331100403224871,dvl,0,0.0174444448203,0.5,75.0,15.6242170334
1475331100605056984,237,1475331100583810977,dvl,0,0.0174444448203,0.5,75.0,15.62408638
1475331100805471549,238,1475331100760642867,dvl,0,0.0174444448203,0.5,75.0,15.6244716644
1475331101004877001,239,1475331101003435436,dvl,0,0.0174444448203,0.5,75.0,15.6251153946
1475331101205042687,240,1475331101201967425,dvl,0,0.0174444448203,0.5,75.0,15.6264753342
1475331101404975814,241,1475331101345793162,dvl,0,0.0174444448203,0.5,75.0,15.6283941269
1475331101604985563,242,1475331101580975348,dvl,0,0.0174444448203,0.5,75.0,15.6243152618
1475331101804876759,243,1475331101761725177,dvl,0,0.0174444448203,0.5,75.0,15.6207427979
1475331102004949499,244,1475331101994422454,dvl,0,0.0174444448203,0.5,75.0,15.6183509827
1475331102204924607,245,1475331102184970261,dvl,0,0.0174444448203,0.5,75.0,15.6185932159
1475331102405546195,246,1475331102360956718,dvl,0,0.0174444448203,0.5,75.0,15.6199398041
1475331102605007594,247,1475331102550104028,dvl,0,0.0174444448203,0.5,75.0,15.6216306686
