%time,field.data
1475331840870971959,73.0
1475331846872169607,72.0
1475331848874008379,72.0
1475331854874659217,70.0
1475331856872777560,70.0
1475331858878377799,71.0
1475331860876364249,71.0
1475331862873722315,71.0
1475331864874782281,72.0
1475331866875648203,73.0
1475331868872595477,73.0
1475331870871282134,74.0
1475331872872455540,74.0
1475331878879068271,73.0
1475331880872520278,73.0
1475331882874064289,73.0
1475331884873303631,74.0
1475331886879310537,74.0
1475331888876114557,74.0
1475331890879196752,74.0
1475331892893917008,74.0
1475331894875580396,74.0
1475331896873615980,74.0
1475331898872401357,74.0
1475331900873432073,74.0
1475331902870987901,75.0
1475331904873728555,76.0
1475331908876438430,75.0
1475331910874985848,75.0
1475331912872749472,75.0
1475331914871564893,75.0
1475331924871438669,72.0
1475331926877123331,73.0
1475331928872324715,74.0
1475331930871034702,75.0
1475331932872960652,76.0
1475331934874243244,76.0
1475331936873782831,76.0
1475331940871935686,77.0
1475331942878449841,77.0
1475331944876064871,77.0
1475331946905217428,77.0
1475331948883449007,78.0
1475331950872431980,78.0
1475331952875080924,78.0
1475331954873391224,78.0
1475331956873957611,78.0
1475331960872588023,78.0
1475331962873298701,79.0
1475331964873008072,79.0
1475331966872686872,79.0
1475331968873956782,79.0
1475331970877572731,79.0
1475331972876423117,79.0
1475331974875780864,79.0
1475331976872602443,80.0
1475331980871672199,79.0
1475331982873680447,79.0
1475331992873742465,78.0
1475331994872892156,78.0
1475331998875462459,77.0
1475332000882501111,78.0
1475332002875767733,78.0
1475332004877480082,78.0
1475332006876118819,78.0
1475332008876822021,78.0
1475332010879766153,78.0
1475332012876033423,78.0
1475332014872864771,78.0
1475332016873378789,78.0
1475332018871770770,79.0
1475332030871246801,75.0
1475332036876217933,73.0
1475332038871585218,74.0
1475332044875725169,74.0
1475332046874194277,74.0
1475332048878128026,74.0
1475332052870442733,75.0
1475332054874489747,75.0
1475332056875546948,75.0
1475332058878771761,75.0
1475332060876710239,75.0
1475332062874789650,75.0
1475332064875498604,75.0
1475332072875416063,72.0
1475332074874418700,73.0
1475332076879623463,74.0
1475332078881938630,74.0
1475332080875497763,74.0
1475332084879791068,73.0
1475332090879127805,71.0
1475332094877061190,70.0
1475332096876163461,70.0
1475332100873799691,69.0
1475332104873990252,68.0
1475332106877196479,69.0
1475332108874800401,69.0
1475332112874781117,68.0
1475332114872492749,68.0
1475332116874512736,69.0
1475332118887494353,70.0
1475332120874296587,71.0
1475332122876228864,72.0
1475332124877299965,72.0
1475332126876589304,72.0
1475332128874874204,72.0
1475332132877455288,71.0
1475332134874766931,71.0
1475332136878320374,71.0
1475332144874927876,69.0
1475332152876949065,66.0
1475332154874929198,66.0
1475332156881112914,66.0
1475332158875685026,67.0
1475332160874300444,67.0
1475332162876037761,67.0
1475332164873378468,67.0
1475332170875413415,65.0
1475332172871580413,65.0
1475332174870596708,65.0
1475332176874045270,65.0
1475332178876542509,66.0
1475332180875770974,66.0
1475332182878792342,66.0
1475332186880586247,67.0
1475332188879107840,68.0
1475332194872444322,67.0
1475332196880165680,68.0
1475332198871628121,68.0
1475332204876242504,66.0
1475332206880317304,66.0
1475332210879880597,65.0
1475332212878690614,65.0
1475332214877634352,65.0
1475332216878270303,65.0
1475332218878640245,65.0
1475332220872114500,66.0
1475332222878945854,67.0
1475332224873410938,68.0
1475332226881161840,69.0
1475332228870912318,70.0
1475332232879044391,70.0
1475332234875496265,71.0
1475332236874282899,71.0
1475332238875759998,71.0
1475332240880662066,72.0
1475332242877379646,73.0
1475332246876422911,72.0
1475332248874270463,72.0
1475332252872904150,72.0
1475332254872654733,72.0
1475332256875363092,72.0
1475332258874937773,72.0
1475332262875763578,71.0
1475332264893551835,71.0
1475332266876168106,72.0
1475332268874270554,73.0
