% frame a, frame b, inliers, ax, ay, az, aqx, aqy, aqz, aqw, bx, by, bz, bqx, bqy, bqz, bqw
135,289,33,-38.9397,-34.6444,-1.8584,0.0339797,0.228706,0.942092,0.242901,-39.9323,-33.1295,-2.37074,-0.189734,-0.1169,-0.655374,0.721679
156,404,7,-53.4438,-35.8873,-0.953672,-0.0782627,-0.212046,-0.715705,0.660816,-54.2499,-36.6209,-0.522352,-0.144784,0.0764932,0.591585,0.789439
40,98,70,-53.4967,-36.2904,-0.813679,-0.101551,-0.232586,-0.781278,0.57026,-53.1768,-36.6754,-0.597131,-0.0522193,-0.205753,-0.753685,0.622011
36,154,88,-52.2501,-34.8861,-1.54423,0.014374,0.255389,0.91755,-0.304419,-52.9117,-34.3187,-1.65222,-0.0983016,-0.256654,-0.78529,0.554784
73,182,53,-37.8964,-39.5192,-0.0130592,-0.0578961,0.23383,0.637835,0.731532,-38.3012,-39.1281,-0.0923233,-0.062309,0.105547,0.524827,0.842339
378,443,119,-46.1386,-45.2395,2.54965,0.0252138,0.216101,0.973069,-0.0761675,-47.1652,-44.5707,2.24766,-0.0488351,-0.119036,-0.435685,0.890856
201,349,179,-45.9385,-30.7866,-2.91268,-0.000667096,0.294411,0.946855,0.129569,-46.8123,-30.3576,-3.43541,-0.207833,-0.0826786,-0.0266946,0.974298
199,282,364,-43.6099,-31.2101,-2.90638,0.00967535,0.267135,0.959367,0.0903285,-45.3026,-31.1385,-3.10361,-0.160123,0.0250422,0.107247,0.980934
39,403,14,-53.4621,-35.8768,-0.955248,-0.106942,-0.256551,-0.810927,0.51492,-54.2031,-37.0844,-0.43929,-0.123743,0.0554514,0.616921,0.775256
108,270,101,-49.9773,-40.7804,0.85841,-0.144236,-0.0573777,-0.0752299,0.98501,-49.6984,-41.5425,1.15879,-0.119329,0.116565,0.628329,0.759852
316,446,87,-44.6612,-46.0777,2.57156,0.0193232,0.208268,0.977502,-0.0272132,-45.9117,-45.6918,2.6941,-0.121579,-0.0911815,-0.173203,0.97309
260,444,85,-45.6706,-45.8424,2.80058,0.0183845,0.171475,0.981027,0.0885711,-47.0666,-44.9648,2.26591,-0.15383,-0.0848429,-0.383856,0.906528
213,409,224,-51.89,-31.8332,-2.898,-0.120952,-0.271097,-0.794494,0.52977,-52.7081,-32.9076,-2.31802,-0.204835,0.140896,0.592535,0.76622
112,436,86,-47.1132,-41.052,1.47863,-0.107266,-0.0599237,-0.0517429,0.991073,-46.4587,-40.3865,0.95927,-0.0888018,-0.162355,-0.773465,0.606224
285,356,50,-43.1376,-31.2372,-2.99779,-0.190683,-0.01407,-0.0911643,0.977308,-43.4829,-30.9641,-3.14948,-0.108999,-0.0488142,-0.228077,0.96629
202,347,240,-46.9545,-30.5996,-3.03039,-0.00876815,0.29034,0.950514,0.110227,-48.2794,-30.5059,-3.41329,-0.272815,-0.0812948,0.124393,0.950521
103,333,158,-52.8263,-39.722,0.48695,-0.118916,-0.0924044,-0.243214,0.95821,-52.4043,-41.0287,1.0289,-0.121566,0.0836981,0.63456,0.75865
261,319,68,-46.7742,-45.5953,2.79709,0.0155435,0.185544,0.977876,0.0953447,-46.4671,-46.0112,2.73517,0.00649343,0.180855,0.982264,0.0490601
378,442,62,-46.1386,-45.2395,2.54965,0.0252138,0.216101,0.973069,-0.0761675,-47.3232,-44.0743,2.01853,-0.145123,-0.137965,-0.632459,0.748265
348,419,64,-47.5413,-30.4483,-3.51784,-0.261193,-0.0797561,0.0468008,0.960847,-47.4379,-30.6933,-3.45094,-0.230772,-0.116336,-0.113146,0.959379
325,385,115,-50.7144,-44.887,2.45859,0.00528665,0.151522,0.976225,0.15491,-50.9483,-44.925,2.39678,-0.0531761,0.179489,0.977012,0.101996
280,422,229,-46.3373,-31.4816,-2.93606,-0.20395,0.0538628,0.284399,0.935212,-46.3941,-30.8416,-3.06066,-0.205729,-0.0994139,-0.155505,0.961047
200,422,10,-44.894,-30.9002,-2.95803,0.0213959,0.265282,0.958111,0.105783,-46.3941,-30.8416,-3.06066,-0.205729,-0.0994139,-0.155505,0.961047
200,421,8,-44.894,-30.9002,-2.95803,0.0213959,0.265282,0.958111,0.105783,-46.8553,-30.7487,-3.09807,-0.21805,-0.138789,-0.119603,0.958586
232,366,84,-43.9702,-37.584,0.0359074,-0.102636,-0.0704994,-0.0503936,0.990937,-43.0201,-36.9985,-0.474667,-0.121265,-0.154625,-0.78092,0.592916
202,348,5,-46.9545,-30.5996,-3.03039,-0.00876815,0.29034,0.950514,0.110227,-47.5413,-30.4483,-3.51784,-0.261193,-0.0797561,0.0468008,0.960847
40,402,87,-53.4967,-36.2904,-0.813679,-0.101551,-0.232586,-0.781278,0.57026,-54.3254,-37.4834,-0.234909,-0.118768,0.0723705,0.603259,0.785325
135,290,168,-38.9397,-34.6444,-1.8584,0.0339797,0.228706,0.942092,0.242901,-39.8683,-33.3988,-2.25632,-0.148197,-0.140706,-0.652361,0.729838
349,419,13,-46.8123,-30.3576,-3.43541,-0.207833,-0.0826786,-0.0266946,0.974298,-47.4379,-30.6933,-3.45094,-0.230772,-0.116336,-0.113146,0.959379
203,415,48,-48.0568,-30.3799,-3.14381,-0.0232285,0.304983,0.943771,0.125468,-49.7141,-30.4761,-3.62855,-0.190676,-0.107819,0.0273232,0.975331
37,406,92,-52.6383,-35.1548,-1.42621,0.0401864,0.231472,0.912474,-0.334958,-53.7871,-35.7349,-0.944942,-0.179957,0.0636287,0.583554,0.789323
377,444,92,-45.6859,-44.9447,2.41691,0.0495306,0.213229,0.956976,-0.190465,-47.0666,-44.9648,2.26591,-0.15383,-0.0848429,-0.383856,0.906528
96,406,8,-52.874,-34.8882,-1.2908,-0.135939,-0.29919,-0.77302,0.542629,-53.7871,-35.7349,-0.944942,-0.179957,0.0636287,0.583554,0.789323
322,381,306,-48.6871,-45.457,2.68431,0.0320813,0.18321,0.974803,0.123142,-48.7841,-45.2986,2.61723,0.0135784,0.170946,0.984162,0.0449291
154,217,29,-52.9117,-34.3187,-1.65222,-0.0983016,-0.256654,-0.78529,0.554784,-52.7819,-34.5441,-1.54352,-0.109539,-0.161484,-0.666373,0.719633
262,379,68,-47.3601,-45.5878,2.69191,0.0504513,0.192316,0.974773,0.101425,-47.1328,-45.3252,2.64156,0.0105826,0.218868,0.973866,-0.0597411
33,340,139,-49.9191,-35.0691,-1.14431,-0.101418,0.255223,0.949258,0.153247,-50.7545,-35.468,-0.757989,-0.151863,0.0671368,0.601025,0.781792
220,336,28,-51.5999,-36.3726,-0.624655,-0.142725,-0.139405,-0.160105,0.966728,-51.5527,-37.5276,-0.27732,-0.0910473,0.0441651,0.605972,0.789023
256,313,93,-43.0194,-46.0926,2.70756,0.00732277,0.173595,0.98479,-0.000428685,-43.1676,-45.6995,2.60543,0.0213092,0.157928,0.973677,-0.162968
117,302,54,-42.3791,-41.998,1.11832,-0.138486,0.0457694,-0.0981869,0.984422,-41.616,-41.7113,1.42101,-0.133623,-0.128703,-0.749036,0.636023
263,380,109,-48.1802,-45.3853,2.62483,0.0265912,0.190162,0.97074,0.144206,-48.2516,-45.2872,2.55417,0.0308796,0.211385,0.976914,-0.000891023
258,315,132,-44.0287,-46.1165,2.69582,0.0153588,0.161826,0.984182,0.0704397,-44.1105,-46.0253,2.53807,0.00751201,0.199155,0.975782,-0.0901702
95,152,14,-52.3188,-34.5432,-1.80919,0.0569491,0.326722,0.8325,-0.443794,-52.3644,-33.6034,-2.19066,0.0613424,0.289677,0.829168,-0.474136
229,433,236,-46.4983,-37.4176,-0.266009,-0.10365,-0.0177657,-0.0363623,0.99379,-45.6144,-36.7793,-0.378632,-0.151166,-0.211911,-0.760927,0.594334
214,408,82,-52.1469,-32.4522,-2.57051,-0.138185,-0.273622,-0.754378,0.580474,-52.9193,-33.4988,-1.86752,-0.208491,0.109827,0.593609,0.769479
155,406,261,-53.1915,-34.6671,-1.38279,-0.115082,-0.268561,-0.751476,0.591536,-53.7871,-35.7349,-0.944942,-0.179957,0.0636287,0.583554,0.789323
200,350,32,-44.894,-30.9002,-2.95803,0.0213959,0.265282,0.958111,0.105783,-46.4701,-30.4121,-3.47871,-0.247054,-0.0981864,-0.0408359,0.963149
280,350,38,-46.3373,-31.4816,-2.93606,-0.20395,0.0538628,0.284399,0.935212,-46.4701,-30.4121,-3.47871,-0.247054,-0.0981864,-0.0408359,0.963149
