% timestamp, frame id, x, y, z, qx, qy, qz, qw
1474477150.374442,0,0.077939,0.159543,-0.005070,-0.033090,0.120086,0.523743,0.842720
1474477150.908468,1,0.167347,0.309523,0.024359,-0.034734,0.130827,0.533432,0.834942
1474477151.975055,2,-40.340469,-45.009356,1.908577,-0.002646,0.154632,0.544487,0.824388
1474477153.042562,3,-40.231958,-44.644614,1.720957,-0.016630,0.131760,0.562151,0.816302
1474477154.109465,4,-40.106184,-44.614384,1.977092,-0.071544,0.176421,0.577980,0.793534
1474477155.308751,5,-39.921776,-44.367489,2.007352,-0.100940,0.187568,0.583930,0.783361
1474477156.641471,6,-39.708215,-43.856758,1.730934,-0.069002,0.175902,0.588611,0.786025
1474477157.974110,7,-39.661340,-43.414702,1.708867,-0.072051,0.186569,0.571787,0.795651
1474477159.442173,8,-39.547846,-43.105660,1.706976,-0.112323,0.157964,0.576298,0.793922
1474477160.774021,9,-39.480695,-42.732588,1.509014,-0.113892,0.223612,0.573057,0.780148
1474477161.845149,10,-39.377955,-42.337332,1.422301,-0.131522,0.259484,0.579537,0.761254
1474477163.041030,11,-39.290705,-41.893282,1.215108,-0.105658,0.274996,0.560926,0.773677
1474477164.108331,12,-39.102563,-41.395817,1.010409,-0.095306,0.223994,0.557989,0.793342
1474477167.708568,13,-38.788850,-40.307753,0.888976,-0.086304,0.191544,0.532895,0.819686
1474477168.907132,14,-38.588117,-39.943541,0.867031,-0.115339,0.179251,0.542235,0.812740
1474477171.174432,15,-38.463374,-39.342807,0.611136,-0.072547,0.325753,0.757728,0.560777
1474477171.973733,16,-38.488130,-39.062831,0.515428,-0.009444,0.383711,0.800370,0.460526
1474477175.574390,17,-39.024238,-38.392411,0.139487,-0.007891,0.241511,0.897442,0.369065
1474477177.840216,18,-39.505733,-37.964782,0.070315,0.020713,0.267648,0.915008,0.301159
1474477179.175172,19,-39.831909,-37.802116,-0.085607,0.031205,0.239316,0.936016,0.256180
1474477180.640221,20,-40.133641,-37.551041,-0.118402,0.020924,0.244449,0.944798,0.217172
1474477182.108924,21,-40.555619,-37.396909,-0.200997,0.010285,0.241667,0.946925,0.211720
1474477185.306696,22,-41.499418,-36.986382,-0.314489,0.000194,0.227966,0.959215,0.167146
1474477189.173196,23,-42.774267,-36.715056,-0.466699,-0.014218,0.243493,0.956250,0.161540
1474477190.108429,24,-43.205596,-36.587042,-0.432415,-0.003102,0.252071,0.954444,0.159645
1474477191.706441,25,-43.794448,-36.431018,-0.507170,0.022358,0.240723,0.957904,0.154829
1474477197.174938,26,-46.107249,-35.813483,-0.607266,0.007468,0.247048,0.955958,0.158288
1474477198.106743,27,-46.510935,-35.731001,-0.608807,0.014419,0.257945,0.953992,0.152169
1474477199.573749,28,-47.144515,-35.609924,-0.636764,0.010557,0.250251,0.957740,0.141408
1474477201.173384,29,-47.800052,-35.541391,-0.751877,-0.028009,0.247989,0.956165,0.153186
1474477202.639489,30,-48.415361,-35.354988,-0.832477,-0.064117,0.243392,0.953686,0.164720
1474477203.974492,31,-48.921727,-35.225088,-0.954528,-0.078352,0.265181,0.948692,0.153373
1474477206.906007,32,-49.919083,-35.069114,-1.144306,-0.101418,0.255223,0.949258,0.153247
1474477209.573626,33,-50.623554,-34.778907,-1.332355,-0.084531,0.247317,0.959367,0.106320
1474477212.374343,34,-51.445502,-34.667321,-1.616947,-0.000919,0.194303,0.967372,-0.162595
1474477214.640154,35,-52.250074,-34.886056,-1.544227,0.014374,0.255389,0.917550,-0.304419
1474477215.972555,36,-52.638258,-35.154825,-1.426207,0.040186,0.231472,0.912474,-0.334958
1474477217.839819,37,-52.851768,-35.443209,-1.324402,0.041084,0.254955,0.859975,-0.440175
1474477220.108748,38,-53.462068,-35.876826,-0.955248,-0.106942,-0.256551,-0.810927,0.514920
1474477222.239764,39,-53.496660,-36.290434,-0.813679,-0.101551,-0.232586,-0.781278,0.570260
1474477226.239066,40,-53.854313,-37.287126,-0.345151,-0.092606,-0.234728,-0.733208,0.631452
1474477228.240442,41,-53.961529,-37.612269,-0.165845,-0.098065,-0.216682,-0.730809,0.639805
1474477231.438892,42,-53.973931,-38.600899,0.071133,-0.083359,-0.200553,-0.701519,0.678749
1474477233.841479,43,-54.147978,-39.113350,0.309193,-0.070632,-0.193260,-0.708149,0.675416
1474477235.573321,44,-54.133692,-39.716644,0.489144,-0.104133,-0.184668,-0.676065,0.705684
1474477237.572993,45,-54.220104,-40.085719,0.609967,-0.188598,-0.167181,-0.547427,0.798001
1474477240.771716,46,-53.801225,-40.822378,0.744430,-0.163594,-0.172797,-0.373035,0.896785
1474477243.305360,47,-53.561933,-41.268818,0.943885,-0.154280,-0.107850,-0.327152,0.926033
1474477245.838235,48,-53.108297,-41.556701,1.125589,-0.178496,-0.095014,-0.186991,0.961325
1474477248.771496,49,-52.312532,-41.869836,1.284738,-0.168662,-0.079106,-0.146620,0.971493
1474477253.571374,50,-51.161719,-42.127295,1.470767,-0.153157,-0.071449,-0.098937,0.980637
1474477254.505781,51,-50.827996,-42.189616,1.485700,-0.128145,-0.076270,-0.087027,0.984981
1474477256.371283,52,-50.388926,-42.290584,1.496778,-0.159948,-0.074952,-0.077136,0.981249
1474477259.705066,53,-49.541964,-42.422850,1.612033,-0.107335,-0.035890,-0.056261,0.991981
1474477262.104561,54,-48.474891,-42.534767,1.746699,-0.104290,-0.058989,-0.055702,0.991232
1474477263.437733,55,-48.015684,-42.569024,1.739457,-0.167687,-0.100964,-0.046560,0.979551
1474477266.371664,56,-46.812609,-42.710359,1.855527,-0.119390,-0.069248,-0.034388,0.989832
1474477269.038168,57,-45.815012,-42.678144,1.951602,-0.095315,-0.038570,-0.074964,0.991871
1474477270.905697,58,-44.958322,-42.808862,1.932387,-0.100715,-0.025455,-0.096795,0.989868
1474477272.504132,59,-44.336181,-42.886767,2.012421,-0.093491,-0.020934,-0.105829,0.989758
1474477273.704106,60,-43.784953,-43.026158,1.975536,-0.083236,-0.008814,-0.109367,0.990471
1474477275.971488,61,-42.838384,-43.161799,1.847525,-0.091740,0.068364,-0.111665,0.987138
1474477278.770640,62,-42.004987,-43.405676,1.769916,-0.090600,0.023142,-0.108712,0.989666
1474477280.237265,63,-41.615411,-43.508853,1.766957,-0.111879,0.017749,-0.123725,0.985830
1474477282.103721,64,-41.049374,-43.700645,1.815929,-0.101837,-0.000521,-0.148536,0.983649
1474477284.104207,65,-40.531315,-44.034800,1.718324,-0.205543,0.029384,-0.066967,0.975912
1474477288.104897,66,-39.443993,-43.831027,1.539629,-0.086861,0.115505,0.371762,0.917010
1474477291.704288,67,-38.869035,-43.275474,1.351504,-0.083583,0.131080,0.470386,0.868659
1474477298.903483,68,-38.134189,-41.603834,1.064644,-0.031741,0.159607,0.634731,0.755403
1474477299.836703,69,-38.104174,-41.349440,0.882131,-0.057127,0.177065,0.638056,0.747174
1474477301.170148,70,-38.042527,-40.939368,0.712934,-0.072896,0.202061,0.635500,0.741618
1474477302.503989,71,-38.023708,-40.564178,0.494669,-0.073657,0.217418,0.628078,0.743521
1474477304.503884,72,-37.896351,-39.519153,-0.013059,-0.057896,0.233830,0.637835,0.731532
1474477307.304229,73,-37.814429,-38.825849,-0.268506,-0.068393,0.149499,0.629869,0.759103
1474477310.103300,74,-37.614657,-38.114016,-0.581769,-0.067606,0.122575,0.695164,0.705090
1474477311.437045,75,-37.576070,-37.822331,-0.666290,-0.025636,0.217419,0.787166,0.576578
1474477313.037690,76,-37.757772,-37.397083,-0.811270,0.037195,0.212719,0.846480,0.486661
1474477315.971043,77,-38.147748,-36.749719,-0.884886,0.025735,0.248650,0.904559,0.345375
1474477319.037188,78,-38.869173,-36.217870,-1.070125,0.014746,0.216968,0.936467,0.275203
1474477322.102772,79,-39.567001,-35.887669,-1.212833,0.056484,0.207749,0.955964,0.199455
1474477324.902672,80,-40.233961,-35.526952,-1.164294,0.037954,0.221338,0.964756,0.137164
1474477328.102541,81,-41.094574,-35.269962,-1.278541,0.007691,0.214436,0.966578,0.140303
1474477331.169819,82,-41.836823,-35.135241,-1.395148,-0.005116,0.198192,0.971018,0.133485
1474477332.902435,83,-42.458028,-34.986338,-1.397173,-0.001865,0.208872,0.969499,0.128222
1474477336.635632,84,-43.962117,-34.699477,-1.439152,-0.003432,0.225409,0.967774,0.112214
1474477339.702218,85,-45.222093,-34.470620,-1.481988,-0.026557,0.240225,0.961822,0.128398
1474477342.235487,86,-46.187829,-34.182277,-1.512474,-0.048440,0.241432,0.956579,0.155948
1474477344.902717,87,-47.198485,-33.932541,-1.449053,-0.008083,0.243478,0.960995,0.130927
1474477346.769673,88,-47.938954,-33.680470,-1.466983,0.000381,0.237873,0.964033,0.118558
1474477350.904025,89,-49.391804,-33.487915,-1.440665,0.015827,0.249003,0.958674,0.136716
1474477352.378794,90,-49.745822,-33.461046,-1.503642,-0.011618,0.253257,0.959623,0.121860
1474477354.635128,91,-50.395700,-33.464025,-1.686638,-0.058343,0.256391,0.954416,0.141242
1474477356.768412,92,-50.875418,-33.412214,-1.818511,-0.056579,0.226971,0.971780,-0.030437
1474477358.768330,93,-51.319366,-33.742835,-1.995242,-0.053009,0.282873,0.924435,-0.250184
1474477363.034866,94,-52.318775,-34.543168,-1.809189,0.056949,0.326722,0.832500,-0.443794
1474477366.234822,95,-52.874004,-34.888181,-1.290802,-0.135939,-0.299190,-0.773020,0.542629
1474477370.634757,96,-53.113165,-35.770469,-0.798155,-0.121620,-0.224340,-0.755858,0.602959
1474477374.513829,97,-53.176832,-36.675379,-0.597131,-0.052219,-0.205753,-0.753685,0.622011
1474477379.301659,98,-53.399141,-37.922041,-0.279922,-0.076212,-0.220922,-0.740716,0.629861
1474477380.767706,99,-53.535342,-38.277462,-0.127194,-0.107814,-0.192329,-0.716976,0.661310
1474477383.434929,100,-53.476186,-38.802982,0.120230,-0.006383,-0.228017,-0.414091,0.881190
1474477386.768284,101,-53.023400,-39.535747,0.425402,-0.119890,-0.112860,-0.308090,0.937000
1474477387.834171,102,-52.826313,-39.722008,0.486950,-0.118916,-0.092404,-0.243214,0.958210
1474477389.300795,103,-52.540909,-39.907641,0.553784,-0.111810,-0.077675,-0.222537,0.965372
1474477392.234038,104,-51.807119,-40.297612,0.669574,-0.110379,-0.067534,-0.129073,0.983156
1474477394.634762,105,-51.242122,-40.403677,0.812148,-0.134540,-0.061682,-0.135150,0.979708
1474477397.168298,106,-50.703253,-40.588187,0.861059,-0.130054,-0.057634,-0.104126,0.984338
1474477399.834544,107,-49.977315,-40.780387,0.858410,-0.144236,-0.057378,-0.075230,0.985010
1474477402.500589,108,-49.220313,-40.845437,0.985260,-0.138723,-0.070530,-0.091293,0.983589
1474477405.168009,109,-48.274412,-40.941040,1.268555,-0.120350,-0.105796,-0.074855,0.984236
1474477406.633640,110,-47.655778,-41.009859,1.405121,-0.072340,-0.098805,-0.062014,0.990535
1474477407.968081,111,-47.113238,-41.052006,1.478630,-0.107266,-0.059924,-0.051743,0.991073
1474477411.300910,112,-45.810556,-41.215796,1.521165,-0.087831,-0.026133,-0.062934,0.993802
1474477414.366741,113,-44.571108,-41.432604,1.416970,-0.119408,0.019674,-0.063414,0.990623
1474477416.499796,114,-43.587279,-41.625501,1.252038,-0.137970,0.057866,-0.091278,0.984522
1474477417.833295,115,-43.018387,-41.790962,1.226650,-0.136385,0.057173,-0.110919,0.982765
1474477419.301010,116,-42.379107,-41.998033,1.118324,-0.138486,0.045769,-0.098187,0.984422
1474477422.499943,117,-41.530166,-42.270971,1.141307,-0.154612,0.015561,-0.161107,0.974627
1474477425.299775,118,-40.835608,-42.496340,1.253943,-0.137000,-0.019235,-0.123424,0.982664
1474477427.567276,119,-40.364485,-42.713252,1.358853,-0.066692,0.071541,0.173145,0.980028
1474477428.766325,120,-40.039583,-42.720029,1.363534,-0.037526,0.150344,0.285403,0.945798
1474477430.366889,121,-39.710300,-42.492171,1.360861,-0.196471,0.119752,0.341935,0.911120
1474477435.432822,122,-38.793389,-41.599909,0.805116,-0.112850,0.173729,0.470232,0.857884
1474477436.899454,123,-38.537020,-41.275181,0.727286,-0.075529,0.178097,0.502962,0.842381
1474477438.099408,124,-38.335360,-41.017179,0.620549,-0.076869,0.161926,0.548550,0.816679
1474477439.299821,125,-38.190846,-40.760558,0.488002,-0.071798,0.132409,0.581754,0.799297
1474477442.765962,126,-38.041742,-39.902382,0.243011,-0.048888,0.150075,0.611907,0.775021
1474477443.833975,127,-37.953042,-39.663523,0.145510,-0.068506,0.168440,0.631391,0.753844
1474477446.233881,128,-37.791591,-38.847736,-0.251437,-0.087691,0.187190,0.623559,0.753952
1474477449.966486,129,-37.455891,-37.604044,-0.752052,-0.067854,0.160723,0.646858,0.742387
1474477453.698946,130,-37.386645,-36.664399,-1.127418,-0.039687,0.152267,0.653760,0.740160
1474477456.899488,131,-37.459812,-36.051228,-1.370865,0.013374,0.296789,0.845442,0.443808
1474477458.365514,132,-37.743039,-35.691852,-1.471929,0.027465,0.270265,0.867922,0.415829
1474477461.032451,133,-38.177973,-35.080546,-1.667078,0.027035,0.236570,0.915687,0.323761
