%time,field.header.seq,field.header.stamp,field.header.frame_id,field.radiation_type,field.field_of_view,field.min_range,field.max_range,field.range
1475331089000412900,179,1475331088982774080,dvl,0,0.0174444448203,0.5,75.0,16.1919136047
1475331089201867418,180,1475331089153051286,dvl,0,0.0174444448203,0.5,75.0,16.1844654083
1475331089403239806,181,1475331089392531418,dvl,0,0.0174444448203,0.5,75.0,16.1746273041
1475331089604463095,182,1475331089580223596,dvl,0,0.0174444448203,0.5,75.0,16.1632976532
1475331089795665778,183,1475331089763334268,dvl,0,0.0174444448203,0.5,75.0,16.1518707275
1475331089996907048,184,1475331089993759222,dvl,0,0.0174444448203,0.5,75.0,16.1432209015
1475331090198067787,185,1475331090195578195,dvl,0,0.0174444448203,0.5,75.0,16.1315841675
1475331090399306931,186,1475331090393966544,dvl,0,0.0174444448203,0.5,75.0,16.1198139191
1475331090600542256,187,1475331090549208216,dvl,0,0.0174444448203,0.5,75.0,16.1049861908
1475331090801729250,188,1475331090789579005,dvl,0,0.0174444448203,0.5,75.0,16.0930347443
1475331091002885373,189,1475331090970797392,dvl,0,0.0174444448203,0.5,75.0,16.081029892
1475331091204080034,190,1475331091149287678,dvl,0,0.0174444448203,0.5,75.0,16.0690593719
1475331091405333289,191,1475331091379821550,dvl,0,0.0174444448203,0.5,75.0,16.0571365356
1475331091596554324,192,1475331091558876559,dvl,0,0.0174444448203,0.5,75.0,16.0451850891
1475331091797761454,193,1475331091794809100,dvl,0,0.0174444448203,0.5,75.0,16.0362014771
1475331091999023485,194,1475331091990024129,dvl,0,0.0174444448203,0.5,75.0,16.0211963654
1475331092200210551,195,1475331092169610792,dvl,0,0.0174444448203,0.5,75.0,16.0090770721
1475331092401476128,196,1475331092355584710,dvl,0,0.0174444448203,0.5,75.0,15.9960832596
1475331092602891706,197,1475331092547139731,dvl,0,0.0174444448203,0.5,75.0,15.9855556488
1475331092804141176,198,1475331092742589553,dvl,0,0.0174444448203,0.5,75.0,15.9709320068
1475331093005374452,199,1475331092946299316,dvl,0,0.0174444448203,0.5,75.0,15.9578514099
1475331093196973948,200,1475331093183786182,dvl,0,0.0174444448203,0.5,75.0,15.9415845871
1475331093398206211,201,1475331093357081832,dvl,0,0.0174444448203,0.5,75.0,15.9286365509
1475331093599386247,202,1475331093583253671,dvl,0,0.0174444448203,0.5,75.0,15.9157323837
1475331093800624360,203,1475331093758219671,dvl,0,0.0174444448203,0.5,75.0,15.9028511047
1475331094001949748,204,1475331093947378055,dvl,0,0.0174444448203,0.5,75.0,15.8932237625
1475331094203263104,205,1475331094183737999,dvl,0,0.0174444448203,0.5,75.0,15.8771724701
1475331094404524977,206,1475331094380315321,dvl,0,0.0174444448203,0.5,75.0,15.8642721176
1475331094595764288,207,1475331094566936608,dvl,0,0.0174444448203,0.5,75.0,15.8513841629
1475331094796943499,208,1475331094750646921,dvl,0,0.0174444448203,0.5,75.0,15.839179039
1475331094998123268,209,1475331094989761100,dvl,0,0.0174444448203,0.5,75.0,15.8272361755
1475331095199351286,210,1475331095156053725,dvl,0,0.0174444448203,0.5,75.0,15.8153753281
1475331095400609214,211,1475331095394664350,dvl,0,0.0174444448203,0.5,75.0,15.8065404892
1475331095601881544,212,1475331095584940422,dvl,0,0.0174444448203,0.5,75.0,15.7922315598
1475331095803302455,213,1475331095764066963,dvl,0,0.0174444448203,0.5,75.0,15.7812223434
1475331096004472030,214,1475331095957823139,dvl,0,0.0174444448203,0.5,75.0,15.7703084946
1475331096195707004,215,1475331096160205537,dvl,0,0.0174444448203,0.5,75.0,15.759513855
1475331096397007426,216,1475331096346213058,dvl,0,0.0174444448203,0.5,75.0,15.7514982224
1475331096598174985,217,1475331096591690994,dvl,0,0.0174444448203,0.5,75.0,15.7383184433
1475331096799397893,218,1475331096759711273,dvl,0,0.0174444448203,0.5,75.0,15.7279634476
1475331097000636150,219,1475331096950473119,dvl,0,0.0174444448203,0.5,75.0,15.7178096771
1475331097202192539,220,1475331097178791720,dvl,0,0.0174444448203,0.5,75.0,15.707868576
1475331097403475918,221,1475331097346959276,dvl,0,0.0174444448203,0.5,75.0,15.700553894
1475331097604661905,222,1475331097592914545,dvl,0,0.0174444448203,0.5,75.0,15.6886720657
1475331097795799383,223,1475331097780087980,dvl,0,0.0174444448203,0.5,75.0,15.6794586182
1475331097996932189,224,1475331097950444069,dvl,0,0.0174444448203,0.5,75.0,15.6705188751
1475331098198110899,225,1475331098182858102,dvl,0,0.0174444448203,0.5,75.0,15.661863327
1475331098399326155,226,1475331098364500507,dvl,0,0.0174444448203,0.5,75.0,15.653553009
1475331098600580000,227,1475331098549634264,dvl,0,0.0174444448203,0.5,75.0,15.647974968
1475331098801885380,228,1475331098784530266,dvl,0,0.0174444448203,0.5,75.0,15.6438617706
1475331099003068670,229,1475331098973602978,dvl,0,0.0174444448203,0.5,75.0,15.640048027
1475331099204223094,230,1475331099163092237,dvl,0,0.0174444448203,0.5,75.0,15.6365356445
1475331099395374275,231,1475331099365267266,dvl,0,0.0174444448203,0.5,75.0,15.6333303452
