%time,field.header.seq,field.header.stamp,field.header.frame_id,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.orientation_covariance0,field.orientation_covariance1,field.orientation_covariance2,field.orientation_covariance3,field.orientation_covariance4,field.orientation_covariance5,field.orientation_covariance6,field.orientation_covariance7,field.orientation_covariance8,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.angular_velocity_covariance0,field.angular_velocity_covariance1,field.angular_velocity_covariance2,field.angular_velocity_covariance3,field.angular_velocity_covariance4,field.angular_velocity_covariance5,field.angular_velocity_covariance6,field.angular_velocity_covariance7,field.angular_velocity_covariance8,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.linear_acceleration_covariance0,field.linear_acceleration_covariance1,field.linear_acceleration_covariance2,field.linear_acceleration_covariance3,field.linear_acceleration_covariance4,field.linear_acceleration_covariance5,field.linear_acceleration_covariance6,field.linear_acceleration_covariance7,field.linear_acceleration_covariance8
1474477150801133452,1552,1474477150802903890,sparus2,-0.026827265187,0.132487861115,0.536553037023,0.832969448996,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0554361416826,0.0180415812639,0.0511573713715,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.00833164092488,-0.708833491457,-9.91201010607,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
1474477150901720023,1553,1474477150906513929,sparus2,-0.0234746681382,0.134680685278,0.538370099859,0.831545361689,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0731318787489,0.0158186299331,0.053165509731,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,-0.0103757018637,-0.729489729729,-9.94376349136,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
1474477151002331473,1554,1474477151004137992,sparus2,-0.020113841037,0.137163097205,0.539864766534,0.830257641952,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0813785957176,0.0149402226982,0.0500180050921,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,-0.0672197645487,-0.380213324903,-10.1084104901,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
1474477151092886409,1555,1474477151101897001,sparus2,-0.0165219135531,0.139169900076,0.541136484723,0.829174330395,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0823031078911,0.0104704751402,0.0447901890697,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,-0.0460327502503,-0.649285711015,-9.92841040685,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
1474477151193544958,1556,1474477151201395988,sparus2,-0.013132547251,0.141611708778,0.542077169617,0.828206497391,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0831704110567,0.0129093335719,0.0376863198435,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0706085219135,-0.548856499697,-10.1380557946,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
1474477151294174312,1557,1474477151302376031,sparus2,-0.00988325311896,0.144234296861,0.542970858202,0.827213053609,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.079052706676,0.0169013070025,0.0347349137299,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0141780802159,-0.683429202052,-10.1393835418,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
1474477151394749914,1558,1474477151402549028,sparus2,-0.00721737229899,0.146440263046,0.543501841996,0.826504026997,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0680346256457,0.0157264838855,0.0250095617249,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.224346063946,-1.33476786016,-9.98099281889,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
1474477151495256378,1559,1474477151500010967,sparus2,-0.00471235340983,0.148504723319,0.544038701127,0.82580023768,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0648218936679,0.0156091522899,0.0242735592719,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,-0.010935359407,-0.818494805265,-10.0774303666,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
1474477151595865227,1560,1474477151603276014,sparus2,-0.00293426633419,0.149847170397,0.544821326404,0.825049657839,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0416855240142,0.010688875522,0.0261901775353,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.23494941944,-1.05813320904,-10.2389151317,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
1474477151696491086,1561,1474477151700623989,sparus2,-0.0013428494021,0.150815764096,0.545496620113,0.824430857926,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0369474486471,0.00624391336217,0.0241928066921,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.395692873456,-0.89041206484,-10.1965524669,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
1474477151797114847,1562,1474477151797698974,sparus2,-0.000279226345713,0.151209848425,0.546327118174,0.823809555492,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0212003328392,0.00245027102183,0.0253368701654,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.392910870793,-1.01211816721,-10.2126584084,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
